Date,id,T,U,Po,P,Ff,DD,Td,lat,lon,h,name,U10M,V10M
2012-10-18 06:00:00,71501,-1.7,96.0,1011.1168421052632,1011.3834868421053,9.0,315.0,-2.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,6.363961030678929,-6.363961030678926
2012-10-18 12:00:00,71501,-0.8,97.0,1013.3833223684213,1013.6499671052632,5.0,90.0,-1.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-5.0,-3.061616997868383e-16
2012-10-18 18:00:00,71501,-1.1,86.0,1016.7163815789473,1016.9830263157896,6.0,67.5,-3.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-5.543277195067719,-2.296100594190539
2012-10-19 00:00:00,71501,-2.1,90.0,1019.9161184210527,1020.1827631578948,6.0,67.5,-3.5,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-5.543277195067719,-2.296100594190539
2012-10-19 06:00:00,71501,-1.4,72.0,1020.9826973684213,1021.2493421052632,4.0,0.0,-5.7,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-4.0
2012-10-19 12:00:00,71501,-1.4,75.0,1021.6493092105263,1021.7826315789473,5.0,22.5,-5.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-1.913417161825449,-4.619397662556434
2012-10-19 18:00:00,71501,-2.0,91.0,1022.0492763157896,1022.1825986842107,5.0,22.5,-3.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-1.913417161825449,-4.619397662556434
2012-10-20 00:00:00,71501,-2.0,73.0,1023.249177631579,1023.3825,7.0,0.0,-6.2,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-7.0
2012-10-20 06:00:00,71501,-1.9,73.0,1025.2490131578948,1025.3823355263155,7.0,0.0,-6.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-7.0
2012-10-20 12:00:00,71501,-2.5,77.0,1027.7821381578951,1028.0487828947369,6.0,0.0,-6.0,69.56666666666666,-138.91666666666666,1.0,о.Хершел,-0.0,-6.0
